"Table 45. Postdoctoral appointees in engineering in all institutions, by region, state, institution, citizenship, ethnicity, and race: 2012",,,,,,,,,,
,,,,,,,,,,
,,U.S. citizens and permanent residentsa,,,,,,,,
,,,Not Hispanic or Latino,,,,,,,
"Region, state, and institution",Total,"Hispanic or
Latino","American
Indian or
Alaska Native",Asian,"Black or
African
American","Native Hawaiian
or Other Pacific
Islander",White,"More than
one race","Unknown
ethnicity
and race","Temporary
visa holders"
All institutions,"7,103",112,3,594,71,2,"1,325",16,615,"4,365"
   New England    ,"1,279",13,0,64,4,0,205,2,143,848
       Connecticut,86,0,0,3,0,0,8,0,15,60
           U. CT,34,0,0,2,0,0,6,0,1,25
           Yale U.,52,0,0,1,0,0,2,0,14,35
       Maine,2,0,0,0,0,0,0,0,0,2
           U. ME,2,0,0,0,0,0,0,0,0,2
       Massachusetts,"1,093",12,0,59,4,0,193,2,99,724
           Boston U.,137,0,0,12,0,0,43,0,1,81
           Harvard U.,115,2,0,8,0,0,31,1,0,73
           MA Institute of Technology,704,10,0,30,4,0,90,1,94,475
           Northeastern U.,23,0,0,2,0,0,2,0,2,17
           Tufts U.,46,0,0,2,0,0,13,0,1,30
"           U. MA, Amherst",47,0,0,2,0,0,9,0,0,36
"           U. MA, Lowell",4,0,0,1,0,0,0,0,0,3
           Woods Hole Oceanographic Institution,9,0,0,1,0,0,4,0,0,4
           Worcester Polytechnic Institute,8,0,0,1,0,0,1,0,1,5
       New Hampshire,38,0,0,0,0,0,1,0,21,16
           Dartmouth C.,34,0,0,0,0,0,0,0,21,13
           U. NH,4,0,0,0,0,0,1,0,0,3
       Rhode Island,60,1,0,2,0,0,3,0,8,46
           Brown U.,54,1,0,1,0,0,2,0,7,43
           U. RI,6,0,0,1,0,0,1,0,1,3
   Middle Atlantic,867,13,1,49,10,0,186,0,19,589
       New Jersey,146,1,0,12,1,0,32,0,2,98
           NJ Institute of Technology,6,0,0,1,0,0,0,0,0,5
           Princeton U.,105,1,0,3,1,0,23,0,1,76
"           Rutgers, State U. NJ",30,0,0,3,0,0,9,0,1,17
           Stevens Institute of Technology,5,0,0,5,0,0,0,0,0,0
       New York,344,6,0,17,6,0,86,0,16,213
           Alfred U.,1,0,0,0,0,0,0,0,0,1
           Clarkson U.,7,0,0,0,0,0,3,0,1,3
           Columbia U. in the City of New York,80,1,0,1,2,0,20,0,3,53
           Cooper Union,2,0,0,0,0,0,0,0,0,2
           Cornell U.,76,2,0,6,1,0,17,0,1,49
"           CUNY, City C.",43,2,0,5,2,0,14,0,1,19
           Polytechnic Institute of NY U.,9,0,0,1,0,0,1,0,0,7
"           Rensselaer Polytechnic U., Troy",43,0,0,0,0,0,10,0,0,33
           Rochester Institute of Technology,3,0,0,0,0,0,3,0,0,0
"           SUNY, Binghamton U.",6,0,0,0,0,0,0,0,0,6
"           SUNY, C. of Environmental Science and Forestry",1,0,0,0,0,0,0,0,0,1
"           SUNY, Downstate Medical Ctr.",5,0,0,0,0,0,0,0,0,5
"           SUNY, Stony Brook U.",22,0,0,4,0,0,7,0,0,11
"           SUNY, U. Buffalo",21,1,0,0,0,0,4,0,9,7
           Syracuse U.,11,0,0,0,1,0,2,0,1,7
           U. Rochester,14,0,0,0,0,0,5,0,0,9
       Pennsylvania,377,6,1,20,3,0,68,0,1,278
           Carnegie Mellon U.,73,2,0,9,1,0,12,0,0,49
           Drexel U.,19,0,0,0,0,0,5,0,1,13
           Lehigh U.,21,0,0,0,0,0,3,0,0,18
           PA State U.,108,3,1,2,0,0,14,0,0,88
           Temple U.,10,0,0,0,0,0,1,0,0,9
           U. PA,86,1,0,8,2,0,22,0,0,53
           U. Pittsburgh,53,0,0,1,0,0,11,0,0,41
           Villanova U.,7,0,0,0,0,0,0,0,0,7
   East North Central,"1,012",11,0,39,9,0,176,0,46,731
       Illinois,324,5,0,14,6,0,62,0,6,231
           IL Institute of Technology,40,0,0,2,1,0,5,0,1,31
           Northwestern U.,169,3,0,6,5,0,38,0,3,114
"           U. IL, Chicago",6,0,0,1,0,0,2,0,0,3
"           U. IL, Urbana-Champaign",109,2,0,5,0,0,17,0,2,83
       Indiana,146,2,0,2,0,0,20,0,7,115
           IN U.,11,0,0,1,0,0,0,0,0,10
           Purdue U.,77,0,0,0,0,0,17,0,0,60
           U. Notre Dame,58,2,0,1,0,0,3,0,7,45
       Michigan,259,2,0,13,2,0,59,0,6,177
           Central MI U.,1,0,0,0,0,0,0,0,0,1
           MI State U.,33,0,0,1,0,0,6,0,0,26
           MI Technological U.,7,1,0,0,0,0,1,0,0,5
           U. MI,208,1,0,10,2,0,52,0,6,137
           Wayne State U.,10,0,0,2,0,0,0,0,0,8
       Ohio,144,1,0,7,1,0,13,0,3,119
           Case Western Reserve U.,8,0,0,0,0,0,1,0,0,7
           OH State U.,82,1,0,4,1,0,8,0,2,66
           OH U.,6,0,0,1,0,0,1,0,1,3
           U. Akron,20,0,0,1,0,0,0,0,0,19
           U. Cincinnati,20,0,0,1,0,0,0,0,0,19
           U. Dayton,4,0,0,0,0,0,2,0,0,2
           U. Toledo,3,0,0,0,0,0,0,0,0,3
           Youngstown State U.,1,0,0,0,0,0,1,0,0,0
       Wisconsin,139,1,0,3,0,0,22,0,24,89
           Marquette U.,5,0,0,1,0,0,2,0,0,2
"           U. WI, Madison",103,1,0,2,0,0,17,0,4,79
"           U. WI, Milwaukee",31,0,0,0,0,0,3,0,20,8
   West North Central,357,4,0,75,2,1,80,2,2,191
       Iowa,83,1,0,33,1,0,25,0,0,23
           IA State U.,67,1,0,33,1,0,21,0,0,11
           U. IA,16,0,0,0,0,0,4,0,0,12
       Kansas,51,0,0,7,0,1,7,1,0,35
           KS State U.,10,0,0,0,0,1,0,0,0,9
           U. KS,33,0,0,3,0,0,3,1,0,26
           Wichita State U.,8,0,0,4,0,0,4,0,0,0
       Minnesota,113,1,0,5,0,0,26,1,2,78
           U. MN,113,1,0,5,0,0,26,1,2,78
       Missouri,80,2,0,28,1,0,17,0,0,32
           MO State U.,2,0,0,0,0,0,0,0,0,2
           MO U. of Science and Technology,20,0,0,1,0,0,3,0,0,16
           St. Louis U.,1,0,0,0,0,0,0,0,0,1
"           U. MO, Columbia",17,0,0,1,1,0,3,0,0,12
"           Washington U., St. Louis",40,2,0,26,0,0,11,0,0,1
       Nebraska,24,0,0,0,0,0,4,0,0,20
"           U. NE, Lincoln",24,0,0,0,0,0,4,0,0,20
       North Dakota,1,0,0,0,0,0,0,0,0,1
           ND State U.,1,0,0,0,0,0,0,0,0,1
       South Dakota,5,0,0,2,0,0,1,0,0,2
           SD School of Mines and Technology,2,0,0,2,0,0,0,0,0,0
           SD State U.,3,0,0,0,0,0,1,0,0,2
   South Atlantic,928,17,0,145,19,1,210,1,15,520
       Delaware,54,0,0,3,0,0,13,0,0,38
           U. DE,54,0,0,3,0,0,13,0,0,38
       District of Columbia,15,0,0,1,0,0,0,0,0,14
           George Washington U.,12,0,0,1,0,0,0,0,0,11
           Howard U.,3,0,0,0,0,0,0,0,0,3
       Florida,148,2,0,22,6,1,36,1,1,79
           FL International U.,13,0,0,0,0,0,1,0,0,12
           FL State U.,29,0,0,1,0,1,2,0,0,25
           U. Central FL,20,0,0,0,1,0,4,0,0,15
           U. FL,66,0,0,21,5,0,20,1,0,19
           U. Miami,5,0,0,0,0,0,1,0,0,4
"           U. South FL, Tampa",15,2,0,0,0,0,8,0,1,4
       Georgia,191,5,0,65,5,0,47,0,3,66
           Emory U.,29,1,0,5,2,0,8,0,0,13
           GA Institute of Technology,159,4,0,60,3,0,39,0,3,50
           U. GA,3,0,0,0,0,0,0,0,0,3
       Maryland,172,1,0,12,1,0,45,0,4,109
           Johns Hopkins U.,101,0,0,2,1,0,23,0,0,75
           Morgan State U.,2,0,0,0,0,0,1,0,0,1
"           U. MD, Baltimore",4,0,0,1,0,0,0,0,0,3
"           U. MD, Baltimore County",4,0,0,1,0,0,1,0,0,2
"           U. MD, College Park",61,1,0,8,0,0,20,0,4,28
       North Carolina,186,8,0,30,5,0,33,0,2,108
           Duke U.,91,5,0,5,3,0,20,0,0,58
           NC Agricultural and Technical State U.,6,0,0,1,0,0,0,0,0,5
           NC State U.,76,3,0,23,2,0,13,0,1,34
"           U. NC, Chapel Hill",5,0,0,1,0,0,0,0,0,4
"           U. NC, Charlotte",7,0,0,0,0,0,0,0,1,6
           Wake Forest U.,1,0,0,0,0,0,0,0,0,1
       South Carolina,38,1,0,9,1,0,9,0,0,18
           Clemson U.,17,1,0,7,0,0,7,0,0,2
           Medical U. SC,1,0,0,0,1,0,0,0,0,0
           U. SC,20,0,0,2,0,0,2,0,0,16
       Virginia,115,0,0,3,1,0,26,0,5,80
           George Mason U.,2,0,0,0,0,0,0,0,1,1
           Old Dominion U.,7,0,0,0,0,0,1,0,0,6
           U. VA,30,0,0,2,0,0,6,0,4,18
           VA Commonwealth U.,12,0,0,0,0,0,0,0,0,12
           VA Polytechnic Institute and State U.,64,0,0,1,1,0,19,0,0,43
       West Virginia,9,0,0,0,0,0,1,0,0,8
           WV U.,9,0,0,0,0,0,1,0,0,8
   East South Central,156,5,0,13,0,0,33,1,1,103
       Alabama,23,0,0,1,0,0,2,0,0,20
           Auburn U.,9,0,0,1,0,0,2,0,0,6
"           U. AL, Birmingham",3,0,0,0,0,0,0,0,0,3
"           U. AL, Tuscaloosa",11,0,0,0,0,0,0,0,0,11
       Kentucky,35,2,0,4,0,0,10,0,1,18
           U. KY,20,0,0,3,0,0,6,0,1,10
           U. Louisville,15,2,0,1,0,0,4,0,0,8
       Mississippi,30,1,0,2,0,0,4,0,0,23
           Jackson State U.,7,0,0,0,0,0,0,0,0,7
           MS State U.,19,1,0,1,0,0,4,0,0,13
           U. MS,4,0,0,1,0,0,0,0,0,3
       Tennessee,68,2,0,6,0,0,17,1,0,42
           TN Technological U.,3,0,0,0,0,0,0,0,0,3
           U. Memphis,3,0,0,1,0,0,1,0,0,1
"           U. TN, Health Science Ctr.",1,0,0,0,0,0,1,0,0,0
"           U. TN, Knoxville",43,2,0,3,0,0,10,1,0,27
           Vanderbilt U.,18,0,0,2,0,0,5,0,0,11
   West South Central,571,14,0,50,8,0,91,1,34,373
       Arkansas,17,0,0,0,1,0,1,0,2,13
"           U. AR, Fayetteville",17,0,0,0,1,0,1,0,2,13
       Louisiana,23,0,0,1,0,0,2,0,0,20
           LA State U.,13,0,0,1,0,0,2,0,0,10
           Tulane U.,3,0,0,0,0,0,0,0,0,3
"           U. LA, Lafayette",5,0,0,0,0,0,0,0,0,5
           U. New Orleans,2,0,0,0,0,0,0,0,0,2
       Oklahoma,41,1,0,0,0,0,6,0,0,34
           OK State U.,2,0,0,0,0,0,1,0,0,1
           U. OK,31,0,0,0,0,0,4,0,0,27
           U. Tulsa,8,1,0,0,0,0,1,0,0,6
       Texas,490,13,0,49,7,0,82,1,32,306
           Lamar U.,2,1,0,1,0,0,0,0,0,0
           Rice U.,63,0,0,1,1,0,0,0,22,39
           Southern Methodist U.,5,0,0,0,0,0,0,0,0,5
           TX A&M U.,39,1,0,1,0,0,6,0,1,30
"           TX State U., San Marcos",7,0,0,1,0,0,1,0,0,5
           TX Tech U.,66,3,0,7,3,0,26,0,0,27
           U. Houston,53,1,0,1,0,0,4,0,5,42
"           U. North TX, Denton",17,0,0,2,0,0,2,0,0,13
"           U. TX, Arlington",29,0,0,2,1,0,2,0,0,24
"           U. TX, Austin",146,2,0,5,0,0,31,1,0,107
"           U. TX, Dallas",44,3,0,22,0,0,7,0,0,12
"           U. TX, El Paso",4,2,0,0,0,0,0,0,0,2
"           U. TX, Health Science Ctr., San Antonio",1,0,0,0,0,0,1,0,0,0
"           U. TX, Medical Branch",3,0,0,1,1,0,1,0,0,0
"           U. TX, San Antonio",10,0,0,5,0,0,1,0,4,0
"           U. TX, Tyler",1,0,0,0,1,0,0,0,0,0
   Mountain,317,8,0,36,3,0,85,2,13,170
       Arizona,65,1,0,9,0,0,13,1,0,41
           AZ State U.,43,0,0,7,0,0,7,0,0,29
           Northern AZ U.,2,0,0,0,0,0,1,0,0,1
           U. AZ,20,1,0,2,0,0,5,1,0,11
       Colorado,141,4,0,17,1,0,40,1,8,70
           CO School of Mines,27,1,0,1,0,0,4,0,0,21
"           CO State U., Ft. Collins",26,0,0,1,1,0,4,0,3,17
           U. CO,87,3,0,15,0,0,32,1,5,31
           U. Denver,1,0,0,0,0,0,0,0,0,1
       Idaho,13,1,0,0,1,0,8,0,0,3
           Boise State U.,4,0,0,0,0,0,2,0,0,2
           ID State U.,1,0,0,0,0,0,1,0,0,0
           U. ID,8,1,0,0,1,0,5,0,0,1
       Montana,13,0,0,1,0,0,5,0,0,7
           MT State U.,13,0,0,1,0,0,5,0,0,7
       Nevada,5,0,0,1,0,0,0,0,0,4
"           U. NV, Las Vegas",1,0,0,0,0,0,0,0,0,1
"           U. NV, Reno",4,0,0,1,0,0,0,0,0,3
       New Mexico,24,1,0,1,1,0,7,0,2,12
           NM Institute of Mining and Technology,1,0,0,0,0,0,1,0,0,0
           NM State U.,7,0,0,1,1,0,0,0,0,5
           U. NM,16,1,0,0,0,0,6,0,2,7
       Utah,47,1,0,7,0,0,10,0,1,28
           Brigham Young U.,2,0,0,0,0,0,0,0,0,2
           U. UT,41,1,0,7,0,0,8,0,1,24
           UT State U.,4,0,0,0,0,0,2,0,0,2
       Wyoming,9,0,0,0,0,0,2,0,2,5
           U. WY,9,0,0,0,0,0,2,0,2,5
   Pacific,"1,612",27,2,123,16,0,258,7,342,837
       Alaska,1,0,0,0,0,0,1,0,0,0
"           U. AK, Fairbanks",1,0,0,0,0,0,1,0,0,0
       California,"1,362",18,1,111,8,0,237,1,266,720
           CA Institute of Technology,106,2,0,7,1,0,23,1,0,72
           Loyola Marymount U.,1,0,0,0,0,0,0,0,0,1
           San Diego State U.,4,0,0,0,0,0,2,0,0,2
           Stanford U.,274,1,0,14,2,0,59,0,12,186
"           U. CA, Berkeley",382,3,0,10,1,0,31,0,246,91
"           U. CA, Davis",111,2,0,45,1,0,33,0,6,24
"           U. CA, Irvine",27,2,0,4,0,0,5,0,0,16
"           U. CA, Los Angeles",117,1,0,13,0,0,22,0,1,80
"           U. CA, Riverside",7,0,0,1,1,0,0,0,0,5
"           U. CA, San Diego",98,2,0,6,0,0,18,0,0,72
"           U. CA, San Francisco",51,2,0,4,1,0,10,0,0,34
"           U. CA, Santa Barbara",117,2,1,3,0,0,25,0,0,86
"           U. CA, Santa Cruz",7,1,0,3,0,0,1,0,1,1
           U. of the Pacific,1,0,0,0,0,0,0,0,0,1
           U. Southern CA,59,0,0,1,1,0,8,0,0,49
       Hawaii,37,0,0,1,1,0,3,0,0,32
"           U. HI, Manoa",37,0,0,1,1,0,3,0,0,32
       Oregon,27,2,0,1,0,0,12,0,2,10
           OR Health and Science U.,17,2,0,0,0,0,8,0,2,5
           OR State U.,7,0,0,0,0,0,3,0,0,4
           Portland State U.,2,0,0,1,0,0,0,0,0,1
           U. OR,1,0,0,0,0,0,1,0,0,0
       Washington,185,7,1,10,7,0,5,6,74,75
           U. WA,131,7,0,7,6,0,0,6,73,32
           WA State U.,54,0,1,3,1,0,5,0,1,43
   Outlying areas,4,0,0,0,0,0,1,0,0,3
       Puerto Rico,4,0,0,0,0,0,1,0,0,3
"           U. PR, Mayaguez",4,0,0,0,0,0,1,0,0,3
,,,,,,,,,,
a Ethnicity and race data are available only for U.S. citizens and permanent residents.,,,,,,,,,,
,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, NSF-NIH Survey of Graduate Students and Postdoctorates in Science and Engineering, 2012.",,,,,,,,,,
,,,,,,,,,,
"Data from survey cycle Fall 2012, as of December 2013.",,,,,,,,,,
