GeoFips,GeoName,2008,2009,2010,2011,2012
01000,Alabama,90.6,90.7,90.9,87.7,88.1
02000,Alaska,106.1,106.2,104.7,105.9,107.1
04000,Arizona,100.4,99.7,98.6,98.4,98.1
05000,Arkansas,89.5,89.1,89.8,87.6,87.6
06000,California,110.7,110.6,111.1,113.4,112.9
08000,Colorado,99.6,100.3,100.2,101.3,101.6
09000,Connecticut,111.2,110.9,110,109.4,109.4
10000,Delaware,104,104.5,103.6,102.4,102.3
12000,Florida,100.1,99.6,98.8,99.2,98.8
13000,Georgia,94.5,94.2,93.8,92.1,92
15000,Hawaii,117.1,115.8,115.8,116.8,117.2
16000,Idaho,94.2,93.9,92.7,93.4,93.6
17000,Illinois,100.2,100.6,100.6,100.9,100.6
18000,Indiana,92.1,92.4,92.1,91.5,91.1
19000,Iowa,89.3,89.3,89.6,89.5,89.5
20000,Kansas,90.5,90.7,91.1,90,89.9
21000,Kentucky,89.7,89.8,89.7,88.7,88.8
22000,Louisiana,92.8,92.7,92.7,91,91.4
23000,Maine,98,98,96.5,97.5,98.3
24000,Maryland,110.4,111.5,111.2,111.5,111.3
25000,Massachusetts,108,107.4,107.2,108.1,107.2
26000,Michigan,95.8,95.6,95.3,94.5,94.4
27000,Minnesota,96.5,96.9,96.2,97.1,97.5
28000,Mississippi,89.4,88.7,88.9,86.9,86.4
29000,Missouri,88.8,88.9,89.4,88.4,88.1
30000,Montana,94.9,94.1,93.7,94.2,94.2
31000,Nebraska,89.8,90,90.4,89.8,90.1
32000,Nevada,100.3,100.4,99.6,99.4,98.2
33000,New Hampshire,106.6,105.8,105.9,105.7,106.2
34000,New Jersey,112.7,113.3,114.1,114.1,114.1
35000,New Mexico,94.2,94.2,94.6,95.1,94.8
36000,New York,114.4,114.2,114.4,115.5,115.4
37000,North Carolina,92.6,92.7,92.3,91.5,91.6
38000,North Dakota,88,87.9,88.5,89.3,90.4
39000,Ohio,91,90.4,90.7,89.5,89.2
40000,Oklahoma,90.7,90.9,91.1,89.6,89.9
41000,Oregon,97.3,97.9,97.6,98.7,98.8
42000,Pennsylvania,98.4,98.3,98.6,98.6,98.7
44000,Rhode Island,100.8,100.7,99.9,99.5,98.7
45000,South Carolina,91.8,92.5,92,90.7,90.7
46000,South Dakota,87.6,86.5,87.7,86.8,88.2
47000,Tennessee,91.3,91.5,91.2,90.3,90.7
48000,Texas,97.3,97.2,97,96.4,96.5
49000,Utah,96.2,96.8,96.1,96.9,96.8
50000,Vermont,100.3,100.3,99.1,100.1,100.9
51000,Virginia,102,102.7,102.5,103.1,103.2
53000,Washington,102.3,102.7,102,102.9,103.2
54000,West Virginia,89,89.5,90.1,88.6,88.6
55000,Wisconsin,92.8,92.6,92.4,93,92.9
56000,Wyoming,95.6,95.6,95.5,96.9,96.4
